,trdwk,mkt_rf,smb,hml,umd,rf
661,2007-04-20,0.0618091926,0.0430811709,0.0359309607,0.0413451018,0.000529
662,2007-04-27,0.0586789028,0.0084155167,0.0311257896,0.0162950369,0.000529
663,2007-05-04,0.0173814631,-0.004810113,-0.003618473,0.0066607206,0.000529
664,2007-05-11,0.0492032069,0.0207504175,0.0346031043,0.0006693105,0.000529
665,2007-05-18,0.0320124968,0.0045463189,-0.016709584,-0.001953518,0.00058
666,2007-05-25,0.0788657828,0.028330631,0.0271782978,0.0348570006,0.00058
667,2007-06-01,-0.094605074,-0.099209675,-0.064611265,-0.010516662,0.00058
668,2007-06-08,0.0108475031,-0.033517232,-0.005861282,0.0273071281,0.00058
669,2007-06-15,0.0717927153,-0.00134543,-0.003446764,0.0039369309,0.00058
670,2007-06-22,-0.031361932,-0.007353261,-0.015620155,0.0149346313,0.00058
671,2007-06-29,-0.103336972,-0.051996399,-0.028362703,-0.024806792,0.00058
672,2007-07-06,-0.009263236,0.0191981902,0.0192392656,-0.027633434,0.00058
673,2007-07-13,0.0180162679,0.0131756778,-0.008360496,0.0132625051,0.00058
674,2007-07-20,0.0325519345,0.0093543694,-0.021478737,0.0042652665,0.00063
675,2007-07-27,0.1103602601,0.0306705386,0.0424284173,-0.007878383,0.00063
676,2007-08-03,0.0502902318,-0.015159718,-0.031275919,0.0532442861,0.00063
677,2007-08-10,0.0073635549,-0.029009011,0.0046920241,-0.003613602,0.00063
678,2007-08-17,-0.007085123,0.0345172062,0.0193432599,-0.039702499,0.00063
679,2007-08-24,0.1021964128,-0.029165219,-0.013001631,0.0330474345,0.00068
680,2007-08-31,0.0228635632,0.0104835889,0.0267996043,-0.023787516,0.00068
681,2007-09-07,0.0121058381,0.0011768811,0.0172318236,0.0094746524,0.00068
682,2007-09-14,0.0137848299,-0.015623806,0.0072445199,0.0262357823,0.00073
683,2007-09-21,0.0154025064,0.0044135786,0.02984577,-0.007286458,0.00073
684,2007-09-28,0.0086865341,-0.000958434,-0.013700822,-0.000406254,0.00073
685,2007-10-12,-0.008970935,-0.046032347,-0.020526078,0.0494866829,0.00073
686,2007-10-19,-0.017558547,0.0094095801,-0.009226542,-0.016981559,0.00073
687,2007-10-26,-0.08811264,-0.047554258,-0.053293468,0.0411798911,0.00073
688,2007-11-02,0.0142816757,0.0263462792,0.0134829857,-0.000419176,0.00073
689,2007-11-09,-0.064088588,0.0425349264,0.018668908,-0.081767993,0.00073
690,2007-11-16,8.7129e-05,0.0195533093,0.023535106,-0.015446874,0.00073
691,2007-11-23,-0.010828574,0.0065773879,0.0082252916,-0.02115448,0.00073
692,2007-11-30,-0.024609303,0.0239789624,0.0052024785,-0.023230814,0.00073
693,2007-12-07,0.0653221619,-0.008362015,0.0008681551,0.0052047486,0.00073
694,2007-12-14,0.0171456837,0.023745358,-0.00108034,-0.029960758,0.00073
695,2007-12-21,0.0386885319,0.0039046426,0.0103283,-0.010150227,0.00078
696,2007-12-28,0.0533766159,0.0019533742,-0.004921082,0.0215564414,0.00078
697,2008-01-04,0.044680756,0.0161062328,0.0111442226,-0.008861622,0.00078
698,2008-01-11,0.0250070697,-0.000985606,0.0042519136,0.031245672,0.00078
699,2008-01-18,-0.024910826,0.0244395256,0.0159874736,-0.030987008,0.00078
700,2008-01-25,-0.050544392,0.0006016657,-0.009206577,-0.011425685,0.00078
701,2008-02-01,-0.11275372,-0.0175983,-0.025623024,0.0120590609,0.00078
702,2008-02-08,0.0811344661,0.0060803509,0.0222545619,-0.001405911,0.00078
703,2008-02-15,-0.003694214,0.025799594,0.0127049435,-0.007819022,0.00078
704,2008-02-22,0.0071537624,0.039359987,0.0116759795,-0.011621665,0.00078
705,2008-02-29,-0.00684049,0.0256554542,0.0089981583,-0.031643216,0.00078
706,2008-03-07,0.0010816734,0.0238331358,-0.00032994,-0.021454962,0.00078
707,2008-03-14,-0.102746642,0.0243723534,0.0092257845,-0.014781195,0.00078
708,2008-03-21,-0.043829615,-0.010435121,-0.006422953,0.0148829039,0.00078
